id,course_code,title,instructors,Credits
1,CSC 161-1,Introduction to Programming,Andrew Read-McFarland,4
2,CSC 170-1,Introduction to Web Development,Eustrat Zhupa,4
3,CSC 171-1,Introduction to Computer Science,Adam Purtee,4
4,CSC 172-1,Data Structures & Algorithms,Monika Polak,4
5,CSC 173-1,Computation & Formal Systems,George Ferguson,4
6,CSC 186-1,Video Game Development,Yukang Yan,4
7,CSC 200-1,Undergraduate Problem Seminar,Fatemeh Nargesian,4
8,CSC 200H-1,Honors Undergraduate Problem Seminar,Fatemeh Nargesian,4
9,CSC 209-01,Seminar on Artificial General Intelligence,Christopher Kanan,2
10,CSC 210-1,Web Programming,Andrew Read-McFarland,4
11,CSC 211-01,Introduction to HCI,Zhen Bai,4
12,CSC 214-1,Mobile App Development,Arthur Roolfs,4
13,CSC 229-01,Computer Models of Perception & Cognition,Robert Jacobs,4
14,CSC 240-1,Data Mining,Ted Pawlicki,4
15,CSC 242-1,Introduction to Artificial Intelligence,Adam Purtee,4
16,CSC 243-01,Advanced Computational Neuroscience,Ralf Haefner,4
17,CSC 246-1,Machine Learning,Daniel Gildea,4
18,CSC 247-01,Natural Language Processing,Hangfeng He,4
19,CSC 249-1,Machine Vision,Chenliang Xu,4
20,CSC 251-1,Advncd Computer Architecture,Michael Huang,4
21,CSC 252-1,Computer Organization,Yuhao Zhu,4
22,CSC 254-1,Programming Language Design & Implementation,Michael Scott,4
23,CSC 255-1,Software Analysis & Improv,Sreepathi Pai,4
24,CSC 258-1,Parallel & Distributed Systems,Andrew Read-McFarland,4
25,CSC 261-1,Database Systems,Eustrat Zhupa,4
26,CSC 263-1,Data Management Systems,Fatemeh Nargesian,4
27,CSC 273W-1,Writing for Computer Science,Joseph Loporcaro,2
28,CSC 278-1,Computer Security Foundations,John Criswell,4
29,CSC 280-1,Computer Models & Limitations,Monika Polak,4
30,CSC 282-1,Design & Analysis Efficient Algorithms,Eustrat Zhupa,4
31,CSC 283-1,Topics in Cryptography,Monika Polak,4
